ID,ingredient,unit,calorie,carbohydrate,protein,lipid,dietary_fiber,salt_equivalent
193,焼き豆腐,g,0.82,0.01,0.078,0.057,0.005,0
194,焼酎,ml,1.44,0,0,0,0,0
195,食パン,g,2.69,0.506,0.097,0.045,0.046,0.013
196,酢,ml,0.25,0.024,0.001,0,0,0
197,水菜,g,0.23,0.048,0.022,0.001,0.03,0.001
198,生クリーム,ml,4.04,0.065,0.019,0.43,0,0.001
199,生ハム,g,2.43,0.005,0.24,0.166,0,0.028
200,青ネギ,g,0.29,0.065,0.019,0.003,0.032,0
201,青のり,g,2.49,0.41,0.294,0.052,0.352,0.081
202,赤ワイン,ml,0.68,0.015,0.002,0,0,0
203,赤味噌,g,1.78,0.211,0.131,0.055,0.041,0.13
204,切り干し大根,g,2.8,0.697,0.097,0.008,0.213,0.005
205,大根,g,0.15,0.041,0.004,0.001,0.013,0
206,大葉,g,0.32,0.075,0.039,0.001,0.073,0
207,中華スープの素,g,2.1,0.366,0.126,0.016,0,0.475
208,中華麺,g,1.62,0.356,0.049,0.017,0.031,0.003
209,中濃ソース,ml,1.29,0.309,0.008,0.001,0.01,0.058
210,中力粉,g,3.37,0.751,0.09,0.016,0.028,0
211,長いも,g,1.08,0.226,0.045,0.005,0.014,0
212,長ネギ,g,0.28,0.068,0.013,0.001,0.025,0
213,天かす,g,5.88,0.37,0.043,0.477,0.033,0.002
214,甜麺醤,g,2.49,0.381,0.085,0.077,0.031,0.073
215,唐辛子,g,0.72,0.163,0.039,0.034,0.103,0
216,豆乳,ml,0.44,0.031,0.036,0.02,0.002,0
217,豆板醤,g,0.49,0.079,0.02,0.023,0.043,0.178
218,豆腐,g,0.73,0.015,0.07,0.049,0.011,0
219,豚バラ,g,3.66,0.001,0.144,0.354,0,0.001
220,豚ひき肉,g,2.09,0.001,0.177,0.172,0,0.001
221,豚モモ,g,1.71,0.002,0.205,0.102,0,0.001
222,豚もも肉,g,1.71,0.002,0.205,0.102,0,0.001
223,豚ロース,g,2.48,0.002,0.193,0.192,0,0.001
224,豚背ロース薄切り,g,2.48,0.002,0.193,0.192,0,0.001
225,日本酒,ml,1.07,0.049,0.004,0,0,0
226,納豆,g,1.9,0.121,0.165,0.1,0.067,0
227,梅干し,g,0.29,0.086,0.009,0.007,0.033,0.182
228,梅酒,ml,1.55,0.207,0.001,0,0,0
229,白こしょう,g,3.76,0.701,0.101,0.064,0,0
230,白ワイン,ml,0.75,0.02,0.001,0,0,0
231,白玉粉,g,3.47,0.8,0.063,0.01,0.005,0
232,白菜,g,0.13,0.032,0.008,0.001,0.013,0
233,白米,g,0.65,0.157,0.011,0.001,0.001,0
234,薄口しょうゆ,g,0.6,0.058,0.057,0,0,0.16
235,粉チーズ,g,4.45,0.019,0.44,0.308,0,0.038
236,米酢,ml,0.46,0.074,0.002,0,0,0
237,米粉,g,3.56,0.819,0.06,0.007,0.006,0
238,米油,g,8.8,0,0,1,0,0
239,片栗粉,g,3.38,0.816,0.001,0.001,0,0
240,味噌,g,2.06,0.379,0.097,0.03,0.056,0.061
241,野菜ジュース,ml,0.21,0.047,0.008,0.001,0.009,0
242,油揚げ,g,3.77,0.004,0.234,0.344,0.013,0
243,卵,g,1.42,0.004,0.122,0.102,0,0.004
244,里芋,g,0.53,0.131,0.015,0.001,0.023,0
245,粒マスタード,g,2.29,0.127,0.076,0.16,0,0.041
246,冷凍枝豆,g,1.43,0.106,0.13,0.076,0.073,0
247,和風だしの素,g,2.23,0.311,0.242,0.003,0,0.406
248,餃子の皮,g,2.75,0.57,0.093,0.014,0.022,0
249,麩,g,3.57,0.569,0.285,0.027,0.037,0
250,さばの味噌煮缶,g,2.1,0.066,0.163,0.139,0,0.011
251,干しえび,g,2.13,0.003,0.486,0.028,0,0.038
252,チョコレート,g,5.5,0.558,0.069,0.341,0.039,0.002
253,からし,g,3.14,0.401,0.059,0.145,0,0.074
254,豚ヒレ,g,1.18,0.003,0.222,0.037,0,0.001
255,カレイ,g,0.89,0.001,0.196,0.013,0,0.003
256,マーガリン,g,7.15,0.005,0.004,0.831,0,0.013
257,ハヤシライスのルー,g,5.01,0.475,0.058,0.332,0.025,0.107
258,一味唐辛子,g,4.12,0.668,0.162,0.097,0,0
259,もち米,g,3.43,0.772,0.064,0.012,0.005,0
260,アジ,g,1.12,0.001,0.197,0.045,0,0.003
261,ホットケーキミックス,g,3.6,0.744,0.078,0.04,0.018,0.01
262,はんぺん,g,0.93,0.114,0.099,0.01,0,0.015
263,チリパウダー,g,3.74,0.601,0.15,0.082,0,0.064
264,高野豆腐,g,4.96,0.042,0.505,0.341,0.025,0.011
265,粉砂糖,g,3.93,0.997,0,0,0,0
266,バナナ,g,0.93,0.225,0.011,0.002,0.011,0
267,わけぎ,g,0.3,0.074,0.016,0,0.028,0
268,いか姿フライ,g,5.1,0.593,0.108,0.255,0,0.02
269,いりこ,g,2.98,0.003,0.645,0.062,0,0.043
270,ウェイパー,g,4.05,0.186,0.103,0.321,0,0.378
271,オートミール,g,3.5,0.691,0.137,0.057,0.094,0
272,おかか,g,3.26,0.1,0.45,0.08,0,0.2
273,おくら,g,0.26,0.066,0.021,0.002,0.05,0
274,かき醤油,ml,1,0.2,0.05,0,0,0.15
275,きび砂糖,g,3.96,0.988,0,0,0,0
276,クミンパウダー,g,4.95,0.412,0.19,0.282,0,0.01
277,コチュジャン,g,2.28,0.568,0.026,0.005,0,0.079
278,さば缶,g,1.74,0.002,0.209,0.107,0,0.009
279,シーフードミックス,g,0.5,0.013,0.122,0.012,0,0.008
280,シャンタン,g,3.84,0.2,0.103,0.292,0,0.401
281,すき焼きのたれ,ml,2.24,0.526,0.034,0,0,0.079
282,スライスチーズ,g,3.13,0.013,0.227,0.26,0,0.028
283,すりごま,g,5.99,0.185,0.203,0.542,0,0
284,ダシダ,g,2.35,0.325,0.125,0.075,0,0.45
285,だし醤油,ml,0.468,0.0492,0.048,0,0,0.0876
286,チキンコンソメ,g,2.33,0.421,0.07,0.043,0.003,0.432
287,ちくわ,g,1.46,0.176,0.086,0.048,0,0.018
288,チャーシュー,g,3.17,0.007,0.248,0.239,0,0.012
289,トック,g,2.38,0.553,0.034,0.004,0,0
290,とんかつソース,ml,1.41,0.336,0.005,0,0,0.073
291,ネギ,g,0.35,0.083,0.014,0.001,0.025,0
292,ビーフシチューのルー,g,4.222222222,0.6111111111,0.07222222222,0.1611111111,0,0.1111111111
293,ピザソース,g,0.57,0.099,0.021,0.01,0,0.023
294,ベビーリーフ,g,0.3,0.035,0.038,0.007,0,0.003
295,ローズマリー,g,3.7,0.699,0.052,0.077,0,0.0003
296,ローリエ,g,0,0,0,0,0,0
297,塩こうじ,g,2.07,0.473,0.029,0.007,0,0.119
298,塩コショウ,g,1.17,0.224,0.048,0.009,0,0.673
299,塩辛,g,1.14,0.065,0.152,0.034,0,0.069
300,牡蠣,g,0.6,0.047,0.066,0.014,0,0.013
301,乾燥ひじき,g,1.86,0.56,0.092,0.032,0.518,0.047
302,乾燥わかめ,g,1.86,0.421,0.179,0.04,0.392,0.235
303,干し貝柱スープの素,g,2.08,0.36,0.164,0,0,0.44
304,牛こま切れ,g,2.65,0.005,0.178,0.2,0,0.001
305,牛すじ,g,1.55,0,0.283,0.049,0,0
306,牛ホルモン,g,2.87,0,0.099,0.261,0,0
307,牛切り落とし,g,2.65,0.005,0.178,0.2,0,0.001
308,牛肉,g,2.65,0.005,0.178,0.2,0,0.001
309,牛薄切り,g,2.65,0.005,0.178,0.2,0,0.001
310,合い挽き肉,g,2.4,0.001,0.178,0.174,0,0.001
311,黒ごま,g,6.04,0.165,0.198,0.538,0.108,0
312,黒豆,g,3.49,0.289,0.339,0.188,0.206,0
313,菜の花,g,0.33,0.058,0.044,0.002,0.042,0
314,七味唐辛子,g,4.18,0.569,0.135,0.151,0,0.0012
315,焼きそばソース,g,1.4,0.327,0.021,0.001,0,0.0816
316,焼肉のたれ,g,1.39,0.266,0.055,0.012,0,0.086
317,水,ml,0,0,0,0,0,0
318,切り餅,g,1.55,0.357,0.036,0.005,0.005,0
319,鷹の爪,g,3.45,0.584,0.147,0.12,0,0
320,中華あじ,g,2.1,0.366,0.126,0.016,0,0.475
321,豆苗,g,0.24,0.032,0.038,0.004,0.022,0
322,豚こま切れ,g,2.36,0.002,0.184,0.168,0,0.01
323,豚スペアリブ,g,3.95,0.001,0.144,0.354,0,0
324,豚の切り落とし,g,2.68,0.002,0.18,0.203,0,0.001
325,豚肉,g,2.68,0.002,0.18,0.203,0,0.001
326,白ごま,g,6.04,0.165,0.198,0.538,0.108,0
327,白だし,ml,0.5,0.084,0.034,0,0,0.184
328,白みそ,g,2.29,0.395,0.087,0.041,0,0.053
329,味の素,g,2.81,0.261,0.458,0,0,0.3
330,柚子こしょう,g,0.37,0.093,0.013,0.008,0.062,0.252
331,筍の水煮,g,0.86,0.218,0.016,0.004,0.024,0
